Cod;Campus;Curso;Turno;Ano
1;ARAGUAIA/BARRA DO GARÇAS;AGRONOMIA - BACHARELADO;INTEGRAL;2017
2;ARAGUAIA/BARRA DO GARÇAS;BIOMEDICINA - BACHARELADO;INTEGRAL;2017
3;ARAGUAIA/BARRA DO GARÇAS;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO;INTEGRAL;2017
4;ARAGUAIA/BARRA DO GARÇAS;COMUNICAÇÃO SOCIAL - JORNALISMO - BACHARELADO;NOTURNO;2017
5;ARAGUAIA/BARRA DO GARÇAS;DIREITO - BACHARELADO;INTEGRAL;2017
6;ARAGUAIA/BARRA DO GARÇAS;ENGENHARIA CIVIL - BACHARELADO;INTEGRAL;2017
7;ARAGUAIA/BARRA DO GARÇAS;GEOGRAFIA - LICENCIATURA;NOTURNO;2017
8;ARAGUAIA/BARRA DO GARÇAS;LETRAS - LÍNGUA PORTUGUESA - LICENCIATURA;NOTURNO;2017
9;CUIABÁ;ADMINISTRAÇÃO - BACHARELADO;MATUTINO;2017
10;CUIABÁ;ADMINISTRAÇÃO - BACHARELADO;NOTURNO;2017
11;CUIABÁ;AGRONOMIA - BACHARELADO;INTEGRAL;2017
12;CUIABÁ;ARQUITETURA E URBANISMO - BACHARELADO;INTEGRAL;2017
13;CUIABÁ;CIÊNCIA DA COMPUTAÇÃO - BACHARELADO;INTEGRAL;2017
14;CUIABÁ;CIÊNCIA E TECNOLOGIA DE ALIMENTOS - BACHARELADO;NOTURNO;2017
15;CUIABÁ;CIÊNCIAS BIOLÓGICAS - BACHARELADO;INTEGRAL;2017
16;CUIABÁ;CIÊNCIAS BIOLÓGICAS - LICENCIATURA;INTEGRAL;2017
17;CUIABÁ;CIÊNCIAS CONTÁBEIS - BACHARELADO;MATUTINO;2017
18;CUIABÁ;CIÊNCIAS CONTÁBEIS - BACHARELADO;NOTURNO;2017
19;CUIABÁ;CIÊNCIAS ECONÔMICAS - BACHARELADO;MATUTINO;2017
20;CUIABÁ;CIÊNCIAS ECONÔMICAS - BACHARELADO;NOTURNO;2017
21;CUIABÁ;CIÊNCIAS SOCIAIS - BACHARELADO;NOTURNO;2017
22;CUIABÁ;CIÊNCIAS SOCIAIS - LICENCIATURA;NOTURNO;2017
24;CUIABÁ;COMUNICAÇÃO SOCIAL - JORNALISMO - BACHARELADO;MATUTINO;2017
25;CUIABÁ;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA - BACHARELADO;MATUTINO;2017
23;CUIABÁ;COMUNICAÇÃO SOCIAL  - RADIALISMO - BACHARELADO;MATUTINO;2017
26;CUIABÁ;DIREITO - BACHARELADO;MATUTINO;2017
27;CUIABÁ;DIREITO - BACHARELADO;NOTURNO;2017
28;CUIABÁ;EDUCAÇÃO FÍSICA - BACHARELADO;MATUTINO;2017
29;CUIABÁ;EDUCAÇÃO FÍSICA - LICENCIATURA;MATUTINO;2017
30;CUIABÁ;ENFERMAGEM - BACHARELADO;INTEGRAL;2017
31;CUIABÁ;ENGENHARIA CIVIL - BACHARELADO;INTEGRAL;2017
32;CUIABÁ;ENGENHARIA ELÉTRICA - BACHARELADO;INTEGRAL;2017
33;CUIABÁ;ENGENHARIA FLORESTAL - BACHARELADO;INTEGRAL;2017
34;CUIABÁ;ENGENHARIA SANITARIA E AMBIENTAL - BACHARELADO;INTEGRAL;2017
35;CUIABÁ;ESTATÍSTICA - BACHARELADO;NOTURNO;2017
36;CUIABÁ;FILOSOFIA - BACHARELADO;NOTURNO;2017
37;CUIABÁ;FILOSOFIA - LICENCIATURA;INTEGRAL;2017
38;CUIABÁ;FILOSOFIA - LICENCIATURA;VESPERTINO;2017
39;CUIABÁ;FÍSICA - BACHARELADO;INTEGRAL;2017
40;CUIABÁ;FÍSICA - LICENCIATURA;INTEGRAL;2017
41;CUIABÁ;FÍSICA - LICENCIATURA;MATUTINO;2017
42;CUIABÁ;GEOGRAFIA - BACHARELADO;MATUTINO;2017
43;CUIABÁ;GEOGRAFIA - LICENCIATURA;NOTURNO;2017
44;CUIABÁ;GEOLOGIA - BACHARELADO;INTEGRAL;2017
45;CUIABÁ;HISTÓRIA - LICENCIATURA;INTEGRAL;2017
46;CUIABÁ;HISTÓRIA - LICENCIATURA;MATUTINO;2017
47;CUIABÁ;HISTÓRIA - LICENCIATURA;NOTURNO;2017
48;CUIABÁ;LETRAS - LIBRAS - LICENCIATURA;VESPERTINO;2017
49;CUIABÁ;LETRAS - PORTUGUÊS E LITERATURAS - LICENCIATURA;MATUTINO;2017
50;CUIABÁ;LETRAS - PORTUGUÊS E LITERATURAS - LICENCIATURA;NOTURNO;2017
51;CUIABÁ;LETRAS PORTUGUÊS E ESPANHOL E RESPECTIVAS LITERATURAS - LICENCIATURA;MATUTINO;2017
52;CUIABÁ;LETRAS PORTUGUÊS E ESPANHOL E RESPECTIVAS LITERATURAS - LICENCIATURA;NOTURNO;2017
53;CUIABÁ;LETRAS PORTUGUÊS E FRANCÊS - LICENCIATURA;MATUTINO;2017
54;CUIABÁ;LETRAS PORTUGUÊS E FRANCÊS - LICENCIATURA;NOTURNO;2017
55;CUIABÁ;LETRAS PORTUGUÊS E INGLÊS - LICENCIATURA;MATUTINO;2017
56;CUIABÁ;LETRAS PORTUGUÊS E INGLÊS - LICENCIATURA;NOTURNO;2017
57;CUIABÁ;MATEMÁTICA - LICENCIATURA;INTEGRAL;2017
59;CUIABÁ;MEDICINA VETERINÁRIA - BACHARELADO;INTEGRAL;2017
58;CUIABÁ;MEDICINA - BACHARELADO;INTEGRAL;2017
61;CUIABÁ;MÚSICA - CANTO - BACHARELADO;VESPERTINO;2017
62;CUIABÁ;MÚSICA - CLARINETE - BACHARELADO;VESPERTINO;2017
63;CUIABÁ;MÚSICA - COMPOSIÇÃO - BACHARELADO;VESPERTINO;2017
64;CUIABÁ;MÚSICA - REGÊNCIA - BACHARELADO;VESPERTINO;2017
65;CUIABÁ;MÚSICA - VIOLÃO - BACHARELADO;VESPERTINO;2017
66;CUIABÁ;MÚSICA - VIOLINO - BACHARELADO;VESPERTINO;2017
60;CUIABÁ;MÚSICA - LICENCIATURA;VESPERTINO;2017
67;CUIABÁ;NUTRIÇÃO - BACHARELADO;INTEGRAL;2017
68;CUIABÁ;PEDAGOGIA - LICENCIATURA;MATUTINO;2017
69;CUIABÁ;PEDAGOGIA - LICENCIATURA;VESPERTINO;2017
70;CUIABÁ;PSICOLOGIA - BACHARELADO;INTEGRAL;2017
71;CUIABÁ;QUÍMICA - BACHARELADO;INTEGRAL;2017
72;CUIABÁ;QUÍMICA - LICENCIATURA;INTEGRAL;2017
73;CUIABÁ;SAÚDE COLETIVA - BACHARELADO;NOTURNO;2017
74;CUIABÁ;SERVIÇO SOCIAL - BACHARELADO;MATUTINO;2017
75;CUIABÁ;SISTEMAS DE INFORMAÇÃO - BACHARELADO;NOTURNO;2017
76;CUIABÁ;ZOOTECNIA - BACHARELADO;INTEGRAL;2017
77;ARAGUAIA/PONTAL DO ARAGUAIA;CIÊNCIAS BIOLÓGICAS - LICENCIATURA;NOTURNO;2017
78;ARAGUAIA/PONTAL DO ARAGUAIA;EDUCAÇÃO FÍSICA - LICENCIATURA;INTEGRAL;2017
79;ARAGUAIA/PONTAL DO ARAGUAIA;ENFERMAGEM - BACHARELADO;INTEGRAL;2017
80;ARAGUAIA/PONTAL DO ARAGUAIA;ENGENHARIA DE ALIMENTOS - BACHARELADO;INTEGRAL;2017
81;ARAGUAIA/PONTAL DO ARAGUAIA;FARMÁCIA - BACHARELADO;INTEGRAL;2017
82;ARAGUAIA/PONTAL DO ARAGUAIA;FÍSICA - LICENCIATURA;NOTURNO;2017
83;ARAGUAIA/PONTAL DO ARAGUAIA;MATEMÁTICA - LICENCIATURA;NOTURNO;2017
84;ARAGUAIA/PONTAL DO ARAGUAIA;QUÍMICA - LICENCIATURA;NOTURNO;2017
85;RONDONÓPOLIS;ADMINISTRAÇÃO - BACHARELADO;MATUTINO;2017
86;RONDONÓPOLIS;ADMINISTRAÇÃO - BACHARELADO;NOTURNO;2017
87;RONDONÓPOLIS;BIBLIOTECONOMIA - BACHARELADO;NOTURNO;2017
88;RONDONÓPOLIS;CIÊNCIAS BIOLÓGICAS - BACHARELADO;INTEGRAL;2017
89;RONDONÓPOLIS;CIÊNCIAS BIOLÓGICAS - LICENCIATURA;NOTURNO;2017
90;RONDONÓPOLIS;CIÊNCIAS BIOLÓGICAS - LICENCIATURA;VESPERTINO;2017
91;RONDONÓPOLIS;CIÊNCIAS CONTÁBEIS - BACHARELADO;MATUTINO;2017
92;RONDONÓPOLIS;CIÊNCIAS CONTÁBEIS - BACHARELADO;NOTURNO;2017
93;RONDONÓPOLIS;CIÊNCIAS ECONÔMICAS - BACHARELADO;NOTURNO;2017
94;RONDONÓPOLIS;ENFERMAGEM - BACHARELADO;INTEGRAL;2017
95;RONDONÓPOLIS;ENGENHARIA AGRÍCOLA E AMBIENTAL - BACHARELADO;INTEGRAL;2017
96;RONDONÓPOLIS;ENGENHARIA MECÂNICA - BACHARELADO;INTEGRAL;2017
97;RONDONÓPOLIS;GEOGRAFIA - LICENCIATURA;NOTURNO;2017
98;RONDONÓPOLIS;HISTÓRIA - LICENCIATURA;MATUTINO;2017
99;RONDONÓPOLIS;HISTÓRIA - LICENCIATURA;NOTURNO;2017
100;RONDONÓPOLIS;INFORMÁTICA - LICENCIATURA;MATUTINO;2017
101;RONDONÓPOLIS;LETRAS - LÍNGUA E LITERATURAS DE LÍNGUA INGLESA - LICENCIATURA;MATUTINO;2017
102;RONDONÓPOLIS;LETRAS - LÍNGUA PORTUGUESA - LICENCIATURA;MATUTINO;2017
103;RONDONÓPOLIS;LETRAS - LÍNGUA PORTUGUESA - LICENCIATURA;VESPERTINO;2017
104;RONDONÓPOLIS;MATEMÁTICA - LICENCIATURA;NOTURNO;2017
105;RONDONÓPOLIS;MATEMÁTICA - LICENCIATURA;VESPERTINO;2017
106;RONDONÓPOLIS;MEDICINA - BACHARELADO;INTEGRAL;2017
107;RONDONÓPOLIS;PEDAGOGIA - LICENCIATURA;MATUTINO;2017
108;RONDONÓPOLIS;PSICOLOGIA - BACHARELADO;INTEGRAL;2017
109;RONDONÓPOLIS;SISTEMAS DE INFORMAÇÃO - BACHARELADO;NOTURNO;2017
110;RONDONÓPOLIS;ZOOTECNIA - BACHARELADO;INTEGRAL;2017
111;SINOP;AGRONOMIA - BACHARELADO;INTEGRAL;2017
112;SINOP;CIÊNCIAS NATURAIS E MATEMÁTICA - FÍSICA - LICENCIATURA;NOTURNO;2017
113;SINOP;CIÊNCIAS NATURAIS E MATEMÁTICA - MATEMÁTICA - LICENCIATURA;NOTURNO;2017
114;SINOP;CIÊNCIAS NATURAIS E MATEMÁTICA - QUÍMICA - LICENCIATURA;NOTURNO;2017
115;SINOP;ENFERMAGEM - BACHARELADO;INTEGRAL;2017
116;SINOP;ENGENHARIA AGRÍCOLA E AMBIENTAL - BACHARELADO;INTEGRAL;2017
117;SINOP;ENGENHARIA FLORESTAL - BACHARELADO;INTEGRAL;2017
118;SINOP;FARMÁCIA - BACHARELADO;INTEGRAL;2017
120;SINOP;MEDICINA VETERINÁRIA - BACHARELADO;INTEGRAL;2017
119;SINOP;MEDICINA - BACHARELADO;INTEGRAL;2017
121;SINOP;ZOOTECNIA - BACHARELADO;INTEGRAL;2017
122;VÁRZEA GRANDE;ENGENHARIA DE COMPUTAÇÃO - BACHARELADO;INTEGRAL;2017
123;VÁRZEA GRANDE;ENGENHARIA DE CONTROLE E AUTOMAÇÃO - BACHARELADO;INTEGRAL;2017
124;VÁRZEA GRANDE;ENGENHARIA DE MINAS - BACHARELADO;INTEGRAL;2017
125;VÁRZEA GRANDE;ENGENHARIA DE TRANSPORTES - BACHARELADO;INTEGRAL;2017
126;VÁRZEA GRANDE;ENGENHARIA QUÍMICA - BACHARELADO;INTEGRAL;2017
127;TODOS OS CAMPI;TODOS OS CURSOS;TODOS OS GRAIS OS GRAIS;TODOS OS PERIODOS;2017
128;CUIABÁ;TODOS OS CURSOS;TODOS OS GRAIS OS GRAIS;TODOS OS PERIODOS;2017
129;RONDONÓPOLIS;TODOS OS CURSOS;TODOS OS GRAIS OS GRAIS;TODOS OS PERIODOS;2017
130;SINOP;TODOS OS CURSOS;TODOS OS GRAIS OS GRAIS;TODOS OS PERIODOS;2017
131;VÁRZEA GRANDE;TODOS OS CURSOS;TODOS OS GRAIS OS GRAIS;TODOS OS PERIODOS;2017
132;ARAGUAIA/PONTAL DO ARAGUAIA;TODOS OS CURSOS;TODOS OS GRAIS OS GRAIS;TODOS OS PERIODOS;2017
